id;username;email;password
1;EXE;Samir_Leuschke@gmail.com;deliverables Soft Customer
2;violet;Vanessa28@gmail.com;Division Handcrafted Program
3;Borders;Edmund.Farrell@gmail.com;Dynamic Granite empower
4;Morocco;Marilou.Turcotte@yahoo.com;copying Mall
5;Cambridgeshire Rubber solution;Ana_DuBuque@gmail.com;Liaison content-based Borders
6;Multi-layered;Rhea_Hegmann@hotmail.com;Island
7;deposit;Claire_Padberg@hotmail.com;Investor
8;navigating Boliviano;Cleora.Hayes@gmail.com;Table override
9;Table schemas Bedfordshire;Marietta_Reynolds25@yahoo.com;neural Intelligent standardization
10;RAM;Kamille.Okuneva45@gmail.com;Steel
